trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
382,False,"{'a': 0.7, 'e': 0.10106413132814486}",20,11,16.43076833300664,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.7, 'e': 0.10045956206168211}",20,14,9.413969115549637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.7, 'e': 0.099858609350303176}",25,14,18.112396533956943,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.7, 'e': 0.099261251559645658}",25,9,2.9704534788748402,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
386,False,"{'a': 0.7, 'e': 0.098667467184764504}",25,10,23.637738117433834,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.7, 'e': 0.098077234849358055}",30,18,21.876049662542044,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.7, 'e': 0.097490533304998586}",20,7,28.157810498941167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.7, 'e': 0.096907341430367042}",25,4,-10.290330007080602,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
390,False,"{'a': 0.7, 'e': 0.096327638230493035}",20,7,-19.33085082634192,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
391,False,"{'a': 0.7, 'e': 0.095751402835998686}",30,19,18.36414038633714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.7, 'e': 0.09517861450234763}",25,8,30.758847655733167,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.7, 'e': 0.09460925260909793}",25,9,25.576448040617358,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.7, 'e': 0.094043296659160003}",20,7,12.47680994642512,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.7, 'e': 0.093480726278058465}",25,19,12.529471904668798,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.7, 'e': 0.092921521213198896}",25,11,25.11082829258209,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.7, 'e': 0.092365661333138505}",20,9,19.765464675386223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.7, 'e': 0.091813126626861655}",35,19,30.587293545138678,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.7, 'e': 0.091263897203059149}",25,13,20.453625799583193,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.7, 'e': 0.090717953289412512}",30,11,20.346172182834287,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
401,False,"{'a': 0.7, 'e': 0.090175275231881805}",20,8,25.673591566880095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.7, 'e': 0.089635843493998418}",30,18,-23.17728648613862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
403,False,"{'a': 0.7, 'e': 0.089099638656161467}",20,7,17.60031105125385,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
